State,County,Obesity
Iowa,Wayne County,31.4
Iowa,Webster County,28.7
Iowa,Winnebago County,28.7
Iowa,Winneshiek County,26.1
Iowa,Woodbury County,31
Iowa,Worth County,29.7
Iowa,Wright County,29.3
Kansas,Allen County,34
Kansas,Anderson County,31.6
Kansas,Atchison County,32
Kansas,Barber County,34.9
Kansas,Barton County,34.4
Kansas,Bourbon County,37.8
Kansas,Brown County,34.3
Kansas,Butler County,33.3
Kansas,Chase County,32.2
Kansas,Chautauqua County,30.6
Kansas,Cherokee County,37.2
Kansas,Cheyenne County,32.1
Kansas,Clark County,31.9
Kansas,Clay County,31.7
Kansas,Cloud County,32.7
Kansas,Coffey County,35.2
Kansas,Comanche County,30.4
Kansas,Cowley County,34.2
Kansas,Crawford County,35.7
Kansas,Decatur County,32.5
Kansas,Dickinson County,33.7
Kansas,Doniphan County,34.6
Kansas,Douglas County,25.1
Kansas,Edwards County,34.8
Kansas,Elk County,33.8
Kansas,Ellis County,29.4
Kansas,Ellsworth County,34
Kansas,Finney County,33.2
Kansas,Ford County,34.3
Kansas,Franklin County,33.3
Kansas,Geary County,30
Kansas,Gove County,29.5
Kansas,Graham County,31.7
Kansas,Grant County,33.5
Kansas,Gray County,29
Kansas,Greeley County,30.7
Kansas,Greenwood County,33.5
Kansas,Hamilton County,34
Kansas,Harper County,28.8
Kansas,Harvey County,32.5
Kansas,Haskell County,33.3
Kansas,Hodgeman County,30.1
Kansas,Jackson County,35.7
Kansas,Jefferson County,33.9
Kansas,Jewell County,33.8
Kansas,Johnson County,23.2
Kansas,Kearny County,32.6
