Total SNAP,Life Expectancy,County,Percent Smokers,State,Percent Obese,Unemployment_rate_2010,min_wage
2854,77.95,Dawson County,23.2,Georgia,27.5,10.9,7.25
10425,74.43,Decatur County,25.3,Georgia,31.7,12.4,7.25
5354,74.84,Dodge County,25.1,Georgia,35.8,13.0,7.25
6768,76.88,Dooly County,28.1,Georgia,31.7,11.6,7.25
406,75.45,Dougherty County,24.8,Georgia,38.1,12.6,7.25
1874,76.75,Douglas County,23.3,Georgia,34.6,11.2,7.25
608,73.89,Early County,26.4,Georgia,30.5,11.7,7.25
306,77.38,Echols County,26.7,Georgia,28.3,8.2,7.25
4407,76.86,Effingham County,23.9,Georgia,31,9.6,7.25
58405,74.9,Elbert County,26.5,Georgia,35.5,14.9,7.25
841,73.41,Emanuel County,26.6,Georgia,30,12.9,7.25
4565,74.97,Evans County,26.3,Georgia,34.8,9.1,7.25
