County,State,Life expectancy 2010
Alexander County, Illinois,74.33
Bond County, Illinois,78.71
Boone County, Illinois,79.74
Brown County, Illinois,78.89
Bureau County, Illinois,79.31
Calhoun County, Illinois,78.82
Carroll County, Illinois,78.90
Cass County, Illinois,77.36
Champaign County, Illinois,80.29
Christian County, Illinois,77.90
Clark County, Illinois,77.49
Clay County, Illinois,77.46
Clinton County, Illinois,79.52
Coles County, Illinois,78.11
Cook County, Illinois,78.44
Crawford County, Illinois,77.72
Cumberland County, Illinois,78.76
De Witt County, Illinois,78.12
DeKalb County, Illinois,79.79
Douglas County, Illinois,78.88
DuPage County, Illinois,81.61
Edgar County, Illinois,77.26
Edwards County, Illinois,77.51
Effingham County, Illinois,78.95
Fayette County, Illinois,78.63
Ford County, Illinois,77.51
Franklin County, Illinois,75.36
Fulton County, Illinois,78.03
Gallatin County, Illinois,75.38
Greene County, Illinois,77.62
Grundy County, Illinois,78.62
Hamilton County, Illinois,77.76
Hancock County, Illinois,79.75
Hardin County, Illinois,75.35
Henderson County, Illinois,78.61
Henry County, Illinois,79.08
Iroquois County, Illinois,77.64
Jackson County, Illinois,78.21
Jasper County, Illinois,79.05
Jefferson County, Illinois,77.27
Jersey County, Illinois,78.05
Jo Daviess County, Illinois,80.74
Johnson County, Illinois,78.10
Kane County, Illinois,80.58
Kankakee County, Illinois,77.15
Kendall County, Illinois,80.94
Knox County, Illinois,77.62
LaSalle County, Illinois,78.06
Lake County, Illinois,80.83
Lawrence County, Illinois,76.14
Lee County, Illinois,78.31
Livingston County, Illinois,78.06
Logan County, Illinois,78.43
Macon County, Illinois,77.95
Macoupin County, Illinois,78.14
Madison County, Illinois,77.50
Marion County, Illinois,76.44
Marshall County, Illinois,78.18
Mason County, Illinois,77.32
Massac County, Illinois,75.89
McDonough County, Illinois,79.63
McHenry County, Illinois,79.89
McLean County, Illinois,79.88
Menard County, Illinois,78.57
Mercer County, Illinois,79.41
Monroe County, Illinois,80.23
Montgomery County, Illinois,77.89
Morgan County, Illinois,78.36
Moultrie County, Illinois,78.14
Ogle County, Illinois,79.57
Peoria County, Illinois,78.07
Perry County, Illinois,77.45
Piatt County, Illinois,79.41
Pike County, Illinois,78.55
Pope County, Illinois,78.04
Pulaski County, Illinois,74.77
Putnam County, Illinois,79.74
Randolph County, Illinois,77.80
Richland County, Illinois,78.12
Rock Island County, Illinois,78.84
Saint Clair County, Illinois,76.68
Saline County, Illinois,74.87
Sangamon County, Illinois,78.29
Schuyler County, Illinois,78.72
Scott County, Illinois,78.74
Shelby County, Illinois,79.73
Stark County, Illinois,78.41
Stephenson County, Illinois,79.49
Tazewell County, Illinois,78.67
Union County, Illinois,76.63
Vermilion County, Illinois,76.49
Wabash County, Illinois,78.21
Warren County, Illinois,78.47
Washington County, Illinois,78.92
Wayne County, Illinois,78.05
White County, Illinois,76.87
Whiteside County, Illinois,78.77
Will County, Illinois,79.76
Williamson County, Illinois,76.90
Winnebago County, Illinois,78.13
Woodford County, Illinois,80.29
Adams County, Indiana,79.64
Allen County, Indiana,78.70
Bartholomew County, Indiana,77.72
Benton County, Indiana,78.35
Blackford County, Indiana,76.90
Boone County, Indiana,78.79
Brown County, Indiana,79.36
Carroll County, Indiana,79.67
Cass County, Indiana,77.74
Clark County, Indiana,76.41
Clay County, Indiana,76.68
Clinton County, Indiana,77.78
Crawford County, Indiana,76.11
Daviess County, Indiana,77.29
DeKalb County, Indiana,77.93
Dearborn County, Indiana,78.24
Decatur County, Indiana,78.09
Delaware County, Indiana,77.05
Dubois County, Indiana,78.93
Elkhart County, Indiana,78.88
Fayette County, Indiana,75.78
Floyd County, Indiana,77.29
Fountain County, Indiana,77.17
Franklin County, Indiana,78.97
Fulton County, Indiana,76.93
Gibson County, Indiana,78.26
Grant County, Indiana,76.37
Greene County, Indiana,76.85
Hamilton County, Indiana,81.36
Hancock County, Indiana,78.57
Harrison County, Indiana,77.92
Hendricks County, Indiana,79.91
Henry County, Indiana,76.97
Howard County, Indiana,77.27
Huntington County, Indiana,78.21
Jackson County, Indiana,76.62
Jasper County, Indiana,77.94
Jay County, Indiana,77.36
Jefferson County, Indiana,76.32
Jennings County, Indiana,75.72
Johnson County, Indiana,78.51
Knox County, Indiana,76.35
Kosciusko County, Indiana,78.37
LaGrange County, Indiana,79.60
LaPorte County, Indiana,77.06
Lake County, Indiana,76.48
Lawrence County, Indiana,76.53
Madison County, Indiana,76.57
Marion County, Indiana,76.29
Marshall County, Indiana,79.08
Martin County, Indiana,77.22
Miami County, Indiana,77.75
Monroe County, Indiana,80.06
Montgomery County, Indiana,77.99
Morgan County, Indiana,77.35
Newton County, Indiana,77.18
Noble County, Indiana,77.73
Ohio County, Indiana,78.24
Orange County, Indiana,76.81
Owen County, Indiana,76.61
Parke County, Indiana,77.96
Perry County, Indiana,77.82
Pike County, Indiana,77.59
Porter County, Indiana,78.74
Posey County, Indiana,78.74
Pulaski County, Indiana,77.14
Putnam County, Indiana,78.32
Randolph County, Indiana,77.90
Ripley County, Indiana,77.95
Rush County, Indiana,77.56
Saint Joseph County, Indiana,78.18
Scott County, Indiana,73.78
Shelby County, Indiana,77.40
Spencer County, Indiana,78.74
Starke County, Indiana,74.98
Steuben County, Indiana,78.88
Sullivan County, Indiana,75.73
Switzerland County, Indiana,76.58
Tippecanoe County, Indiana,79.03
Tipton County, Indiana,78.71
Union County, Indiana,77.71
Vanderburgh County, Indiana,77.40
Vermillion County, Indiana,75.87
Vigo County, Indiana,76.47
Wabash County, Indiana,77.86
Warren County, Indiana,78.39
Warrick County, Indiana,79.08
Washington County, Indiana,75.97
Wayne County, Indiana,76.94
Wells County, Indiana,79.46
White County, Indiana,78.22
Whitley County, Indiana,78.97
Adair County, Iowa,79.43
Adams County, Iowa,78.98
Allamakee County, Iowa,79.92
Appanoose County, Iowa,78.33
Audubon County, Iowa,80.52
Benton County, Iowa,81.01
Black Hawk County, Iowa,79.34
Boone County, Iowa,79.01
Bremer County, Iowa,81.87
Buchanan County, Iowa,79.25
Buena Vista County, Iowa,80.75
Butler County, Iowa,80.30
Calhoun County, Iowa,79.70
Carroll County, Iowa,80.36
Cass County, Iowa,78.84
Cedar County, Iowa,81.32
Cerro Gordo County, Iowa,79.41
Cherokee County, Iowa,80.08
Chickasaw County, Iowa,80.52
Clarke County, Iowa,78.76
Clay County, Iowa,80.19
Clayton County, Iowa,80.26
Clinton County, Iowa,78.52
Crawford County, Iowa,80.23
Dallas County, Iowa,81.27
Davis County, Iowa,79.77
Decatur County, Iowa,78.36
Delaware County, Iowa,80.91
Des Moines County, Iowa,79.02
Dickinson County, Iowa,81.16
Dubuque County, Iowa,79.97
Emmet County, Iowa,79.61
Fayette County, Iowa,79.84
Floyd County, Iowa,79.70
Franklin County, Iowa,80.12
Fremont County, Iowa,78.69
Greene County, Iowa,79.98
Grundy County, Iowa,81.21
Guthrie County, Iowa,80.06
Hamilton County, Iowa,80.38
Hancock County, Iowa,80.73
Hardin County, Iowa,79.68
Harrison County, Iowa,78.05
Henry County, Iowa,79.53
Howard County, Iowa,80.29
Humboldt County, Iowa,80.39
Ida County, Iowa,79.43
Iowa County, Iowa,80.74
Jackson County, Iowa,79.31
Jasper County, Iowa,79.65
Jefferson County, Iowa,80.28
Johnson County, Iowa,81.84
Jones County, Iowa,80.65
Keokuk County, Iowa,80.31
Kossuth County, Iowa,81.23
Lee County, Iowa,77.63
Linn County, Iowa,80.34
Louisa County, Iowa,79.29
Lucas County, Iowa,79.11
Lyon County, Iowa,80.90
Madison County, Iowa,79.57
Mahaska County, Iowa,80.10
Marion County, Iowa,79.39
Marshall County, Iowa,77.57
Mills County, Iowa,77.80
Mitchell County, Iowa,81.29
Monona County, Iowa,78.02
Monroe County, Iowa,77.94
Montgomery County, Iowa,78.40
Muscatine County, Iowa,78.99
O'Brien County, Iowa,80.25
Osceola County, Iowa,80.19
Page County, Iowa,78.76
Palo Alto County, Iowa,79.56
Plymouth County, Iowa,80.68
Pocahontas County, Iowa,79.74
Polk County, Iowa,78.96
Pottawattamie County, Iowa,78.02
Poweshiek County, Iowa,79.85
Ringgold County, Iowa,79.54
Sac County, Iowa,79.84
Scott County, Iowa,79.00
Shelby County, Iowa,80.87
Sioux County, Iowa,82.62
Story County, Iowa,82.01
Tama County, Iowa,79.60
Taylor County, Iowa,79.64
Union County, Iowa,78.74
Van Buren County, Iowa,78.58
Wapello County, Iowa,77.82
Warren County, Iowa,79.88
Washington County, Iowa,80.43
Wayne County, Iowa,78.40
Webster County, Iowa,77.86
Winnebago County, Iowa,80.65
Winneshiek County, Iowa,82.51
Woodbury County, Iowa,78.27
Worth County, Iowa,79.68
Wright County, Iowa,80.19
Allen County, Kansas,76.72
Anderson County, Kansas,78.70
Atchison County, Kansas,77.64
Barber County, Kansas,77.72
Barton County, Kansas,78.60
Bourbon County, Kansas,77.14
Brown County, Kansas,77.85
Butler County, Kansas,78.02
Chase County, Kansas,78.25
Chautauqua County, Kansas,77.29
Cherokee County, Kansas,75.22
Cheyenne County, Kansas,80.01
Clark County, Kansas,78.62
Clay County, Kansas,79.87
Cloud County, Kansas,78.60
Coffey County, Kansas,77.91
Comanche County, Kansas,77.04
Cowley County, Kansas,76.67
