State,County,Obesity,Min Wage,Life expectancy 2010,Percent Smokers,Jan & July Public Assist. Participation,Jan & July Non-Public Assist. Participation,Jan & July TOTAL Assist. Participation,Unemployment_rate_2010
South Dakota,Jackson County,34.8,7.25,74.39,28.4,2154,15585,17739,11.8
Tennessee,Jackson County,30.7,7.25,74.39,28.4,2154,15585,17739,11.8
Texas,Jackson County,31.7,7.25,74.39,28.4,2154,15585,17739,11.8
West Virginia,Jackson County,34.8,7.25,74.39,28.4,2154,15585,17739,11.8
Wisconsin,Jackson County,31.4,7.25,74.39,28.4,2154,15585,17739,11.8
Alabama,Jefferson County,32.2,7.25,75.11,23.0,37750,171288,209038,10.3
Arkansas,Jefferson County,40,7.25,75.11,23.0,37750,171288,209038,10.3
Colorado,Jefferson County,19.6,7.78,75.11,23.0,37750,171288,209038,10.3
Florida,Jefferson County,35.1,7.79,75.11,23.0,37750,171288,209038,10.3
Georgia,Jefferson County,37.8,7.25,75.11,23.0,37750,171288,209038,10.3
Idaho,Jefferson County,27.5,7.25,75.11,23.0,37750,171288,209038,10.3
Illinois,Jefferson County,33,7.25,75.11,23.0,37750,171288,209038,10.3
Indiana,Jefferson County,31.8,7.25,75.11,23.0,37750,171288,209038,10.3
Iowa,Jefferson County,30.2,7.25,75.11,23.0,37750,171288,209038,10.3
Kansas,Jefferson County,33.9,7.25,75.11,23.0,37750,171288,209038,10.3
Kentucky,Jefferson County,33.2,7.25,75.11,23.0,37750,171288,209038,10.3
Mississippi,Jefferson County,44.8,7.25,75.11,23.0,37750,171288,209038,10.3
Missouri,Jefferson County,35.1,7.35,75.11,23.0,37750,171288,209038,10.3
Montana,Jefferson County,20.1,7.25,75.11,23.0,37750,171288,209038,10.3
Nebraska,Jefferson County,32.2,7.25,75.11,23.0,37750,171288,209038,10.3
New York,Jefferson County,29,7.25,75.11,23.0,37750,171288,209038,10.3
Ohio,Jefferson County,36.1,7.85,75.11,23.0,37750,171288,209038,10.3
Oklahoma,Jefferson County,36.9,7.25,75.11,23.0,37750,171288,209038,10.3
Oregon,Jefferson County,30.7,8.95,75.11,23.0,37750,171288,209038,10.3
Pennsylvania,Jefferson County,29.2,7.25,75.11,23.0,37750,171288,209038,10.3
Tennessee,Jefferson County,28.4,7.25,75.11,23.0,37750,171288,209038,10.3
Texas,Jefferson County,35.5,7.25,75.11,23.0,37750,171288,209038,10.3
Washington,Jefferson County,25.1,9.19,75.11,23.0,37750,171288,209038,10.3
West Virginia,Jefferson County,33.5,7.25,75.11,23.0,37750,171288,209038,10.3
Wisconsin,Jefferson County,32.7,7.25,75.11,23.0,37750,171288,209038,10.3
Alabama,Lamar County,31.3,7.25,74.93,26.6,1009,4639,5648,13.2
Georgia,Lamar County,33.2,7.25,74.93,26.6,1009,4639,5648,13.2
Mississippi,Lamar County,33.6,7.25,74.93,26.6,1009,4639,5648,13.2
Texas,Lamar County,27.6,7.25,74.93,26.6,1009,4639,5648,13.2
Alabama,Lauderdale County,32.2,7.25,76.55,23.8,3240,21784,25024,10.1
Mississippi,Lauderdale County,36.7,7.25,76.55,23.8,3240,21784,25024,10.1
Tennessee,Lauderdale County,37,7.25,76.55,23.8,3240,21784,25024,10.1
Alabama,Lawrence County,37.7,7.25,74.55,27.4,1700,10004,11704,12.6
Arkansas,Lawrence County,38,7.25,74.55,27.4,1700,10004,11704,12.6
Illinois,Lawrence County,30.9,7.25,74.55,27.4,1700,10004,11704,12.6
Indiana,Lawrence County,29.3,7.25,74.55,27.4,1700,10004,11704,12.6
Kentucky,Lawrence County,37,7.25,74.55,27.4,1700,10004,11704,12.6
Mississippi,Lawrence County,37.8,7.25,74.55,27.4,1700,10004,11704,12.6
Missouri,Lawrence County,30,7.35,74.55,27.4,1700,10004,11704,12.6
Ohio,Lawrence County,37.2,7.85,74.55,27.4,1700,10004,11704,12.6
Pennsylvania,Lawrence County,28.3,7.25,74.55,27.4,1700,10004,11704,12.6
South Dakota,Lawrence County,24.4,7.25,74.55,27.4,1700,10004,11704,12.6
Tennessee,Lawrence County,31.2,7.25,74.55,27.4,1700,10004,11704,12.6
Alabama,Lee County,32,7.25,77.17,21.6,3620,27448,31068,9.0
Arkansas,Lee County,34.6,7.25,77.17,21.6,3620,27448,31068,9.0
Florida,Lee County,25.9,7.79,77.17,21.6,3620,27448,31068,9.0
Georgia,Lee County,30.8,7.25,77.17,21.6,3620,27448,31068,9.0
Illinois,Lee County,26.5,7.25,77.17,21.6,3620,27448,31068,9.0
Iowa,Lee County,35.3,7.25,77.17,21.6,3620,27448,31068,9.0
Kentucky,Lee County,31.2,7.25,77.17,21.6,3620,27448,31068,9.0
Mississippi,Lee County,30.1,7.25,77.17,21.6,3620,27448,31068,9.0
North Carolina,Lee County,29.2,7.25,77.17,21.6,3620,27448,31068,9.0
South Carolina,Lee County,39.6,7.25,77.17,21.6,3620,27448,31068,9.0
Texas,Lee County,32.9,7.25,77.17,21.6,3620,27448,31068,9.0
Virginia,Lee County,33,7.25,77.17,21.6,3620,27448,31068,9.0
Alabama,Limestone County,33.8,7.25,77.15,25.5,2649,17871,20520,9.6
Texas,Limestone County,29.7,7.25,77.15,25.5,2649,17871,20520,9.6
Alabama,Lowndes County,43.8,7.25,72.78,25.9,1737,6833,8570,18.5
Georgia,Lowndes County,31.3,7.25,72.78,25.9,1737,6833,8570,18.5
Mississippi,Lowndes County,36.3,7.25,72.78,25.9,1737,6833,8570,18.5
Alabama,Macon County,39.2,7.25,72.98,25.4,2313,12111,14424,14.8
Georgia,Macon County,34.2,7.25,72.98,25.4,2313,12111,14424,14.8
Illinois,Macon County,32.1,7.25,72.98,25.4,2313,12111,14424,14.8
Missouri,Macon County,30.9,7.35,72.98,25.4,2313,12111,14424,14.8
North Carolina,Macon County,24.5,7.25,72.98,25.4,2313,12111,14424,14.8
Tennessee,Macon County,33.6,7.25,72.98,25.4,2313,12111,14424,14.8
Alabama,Madison County,30,7.25,77.79,21.5,8431,51364,59795,8.3
Arkansas,Madison County,32.8,7.25,77.79,21.5,8431,51364,59795,8.3
Florida,Madison County,36.3,7.79,77.79,21.5,8431,51364,59795,8.3
Georgia,Madison County,31.7,7.25,77.79,21.5,8431,51364,59795,8.3
Idaho,Madison County,26,7.25,77.79,21.5,8431,51364,59795,8.3
Illinois,Madison County,32,7.25,77.79,21.5,8431,51364,59795,8.3
Indiana,Madison County,37.3,7.25,77.79,21.5,8431,51364,59795,8.3
Iowa,Madison County,30.8,7.25,77.79,21.5,8431,51364,59795,8.3
Kentucky,Madison County,29.6,7.25,77.79,21.5,8431,51364,59795,8.3
Mississippi,Madison County,31.6,7.25,77.79,21.5,8431,51364,59795,8.3
Missouri,Madison County,36,7.35,77.79,21.5,8431,51364,59795,8.3
Montana,Madison County,22.7,7.25,77.79,21.5,8431,51364,59795,8.3
Nebraska,Madison County,29.4,7.25,77.79,21.5,8431,51364,59795,8.3
New York,Madison County,27.3,7.25,77.79,21.5,8431,51364,59795,8.3
North Carolina,Madison County,30,7.25,77.79,21.5,8431,51364,59795,8.3
Ohio,Madison County,30.7,7.85,77.79,21.5,8431,51364,59795,8.3
Tennessee,Madison County,36.1,7.25,77.79,21.5,8431,51364,59795,8.3
Texas,Madison County,31.3,7.25,77.79,21.5,8431,51364,59795,8.3
Virginia,Madison County,33,7.25,77.79,21.5,8431,51364,59795,8.3
Alabama,Marengo County,41.6,7.25,74.67,21.6,2153,8363,10516,13.7
Alabama,Marion County,33,7.25,74.62,27.6,1712,10774,12486,13.6
Arkansas,Marion County,32.6,7.25,74.62,27.6,1712,10774,12486,13.6
Florida,Marion County,31.6,7.79,74.62,27.6,1712,10774,12486,13.6
Georgia,Marion County,31.9,7.25,74.62,27.6,1712,10774,12486,13.6
Illinois,Marion County,32.7,7.25,74.62,27.6,1712,10774,12486,13.6
Indiana,Marion County,31.9,7.25,74.62,27.6,1712,10774,12486,13.6
Iowa,Marion County,29.8,7.25,74.62,27.6,1712,10774,12486,13.6
